publication_id	round	block_id	sample_id	binary	library	scenario	network	client_threads	server_connections	metric	value	phase	status	reason	started_utc	ended_utc	duration_sec	run_order	random_seed	out_dir	client_log	server_log	git_commit	env_hash	machine_hash	datagram_sent	datagram_received	datagram_lost	datagram_delivery_ratio	udp_packets_sent	udp_packets_received	udp_send_syscalls	udp_recv_polls	datagrams_per_udp_packet
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:neqoperf-datagram-iouring-1.client	neqoperf	neqo	datagram	iouring	1	1	datagrams_per_second	2062749.522763000	discovery	ok		2026-05-16T04:51:10Z	2026-05-16T04:51:15Z	5.121869	6		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/neqoperf-datagram-iouring-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/neqoperf-datagram-iouring-1.server.log				8388767	8388608	159	0.999981046	731333	743942	34915	68874	11.275889787
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:neqoperf-datagram-syscall-1.client	neqoperf	neqo	datagram	syscall	1	1	datagrams_per_second	2304279.580039000	discovery	ok		2026-05-16T04:51:05Z	2026-05-16T04:51:10Z	4.667904	5		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/neqoperf-datagram-syscall-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/neqoperf-datagram-syscall-1.server.log				8389496	8388608	888	0.999894153	701011	701002	34530	103491	11.966596386
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:noqperf-datagram-iouring-1.client	noqperf	noq	datagram	iouring	1	1	datagrams_per_second	2298315.427716000	discovery	ok		2026-05-16T04:51:37Z	2026-05-16T04:51:42Z	4.700353	12		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/noqperf-datagram-iouring-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/noqperf-datagram-iouring-1.server.log				8389282	8388608	674	0.999919659	712604	709978	36642	43033	11.815306953
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:noqperf-datagram-syscall-1.client	noqperf	noq	datagram	syscall	1	1	datagrams_per_second	3026198.172233000	discovery	ok		2026-05-16T04:51:33Z	2026-05-16T04:51:37Z	3.795711	11		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/noqperf-datagram-syscall-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/noqperf-datagram-syscall-1.server.log				8389606	8388608	998	0.999881043	733088	732143	30087	37488	11.457608691
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:quicheperf-datagram-iouring-1.client	quicheperf	quiche	datagram	iouring	1	1	datagrams_per_second	4705674.193196000	discovery	ok		2026-05-16T04:51:02Z	2026-05-16T04:51:05Z	2.810522	4		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/quicheperf-datagram-iouring-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/quicheperf-datagram-iouring-1.server.log				8389630	8388608	1022	0.999878183	405933	406494	16822	33642	20.636486639
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:quicheperf-datagram-syscall-1.client	quicheperf	quiche	datagram	syscall	1	1	datagrams_per_second	4382924.057216000	discovery	ok		2026-05-16T04:50:59Z	2026-05-16T04:51:02Z	2.940155	3		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/quicheperf-datagram-syscall-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/quicheperf-datagram-syscall-1.server.log				8389616	8388608	1008	0.999879851	405024	406752	15948	15949	20.623397058
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:quiczigperf-datagram-iouring-1.client	quiczigperf	quic_zig	datagram	iouring	1	1	datagrams_per_second	3625460.209534000	discovery	ok		2026-05-16T04:51:30Z	2026-05-16T04:51:33Z	3.353902	10		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/quiczigperf-datagram-iouring-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/quiczigperf-datagram-iouring-1.server.log				8389416	8388608	808	0.999903688	413121	410430	32610	48680	20.438583924
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:quiczigperf-datagram-syscall-1.client	quiczigperf	quic_zig	datagram	syscall	1	1	datagrams_per_second	3740952.610220000	discovery	ok		2026-05-16T04:51:27Z	2026-05-16T04:51:30Z	3.267744	9		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/quiczigperf-datagram-syscall-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/quiczigperf-datagram-syscall-1.server.log				8389378	8388608	770	0.999908217	417688	407048	34605	67299	20.608399992
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:quinnperf-datagram-iouring-1.client	quinnperf	quinn	datagram	iouring	1	1	datagrams_per_second	2783557.768174000	discovery	ok		2026-05-16T04:50:55Z	2026-05-16T04:50:59Z	4.061377	2		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/quinnperf-datagram-iouring-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/quinnperf-datagram-iouring-1.server.log				8389376	8388608	768	0.999908456	748998	749043	31442	41347	11.199100719
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:quinnperf-datagram-syscall-1.client	quinnperf	quinn	datagram	syscall	1	1	datagrams_per_second	2847039.214777000	discovery	ok		2026-05-16T04:50:51Z	2026-05-16T04:50:55Z	3.972220	1		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/quinnperf-datagram-syscall-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/quinnperf-datagram-syscall-1.server.log				8389442	8388608	834	0.999900589	749250	749125	19767	24492	11.197874854
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:s2nperf-datagram-iouring-1.client	s2nperf	s2n_quic	datagram	iouring	1	1	datagrams_per_second	1568842.755877000	discovery	ok		2026-05-16T04:51:20Z	2026-05-16T04:51:27Z	6.393358	8		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/s2nperf-datagram-iouring-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/s2nperf-datagram-iouring-1.server.log				8389434	8388608	826	0.999901543	437707	443236	39220	82179	18.925827324
	0	quicperf-datagram-fair-8m-smoke	quicperf-datagram-fair-8m-smoke:s2nperf-datagram-syscall-1.client	s2nperf	s2n_quic	datagram	syscall	1	1	datagrams_per_second	1884663.841743000	discovery	ok		2026-05-16T04:51:15Z	2026-05-16T04:51:20Z	5.476258	7		/tmp/quicperf-datagram-fair-8m-smoke	/tmp/quicperf-datagram-fair-8m-smoke/s2nperf-datagram-syscall-1.client.log	/tmp/quicperf-datagram-fair-8m-smoke/s2nperf-datagram-syscall-1.server.log				8389507	8388608	899	0.999892842	437117	436513	22012	44095	19.217315406
