binary	scenario	network	path_profile	tier	publication_eligible	calibrated	workload_kind	selected_work_units	probe_work_units	target_duration_sec	calibration_duration_sec	timeout_sec	env_overrides	reason
lsperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
lsperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
lsperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.116322	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.116290	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.118429	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
lsperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.120312	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
mvfstperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
mvfstperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
mvfstperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.153233	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
mvfstperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.156016	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
mvfstperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.325333	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
mvfstperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.227582	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
neqoperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
neqoperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
neqoperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.219011	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
neqoperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.206341	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
neqoperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.258670	16	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
neqoperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.199240	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
ngtcp2perf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
ngtcp2perf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
ngtcp2perf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.202864	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
ngtcp2perf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.201041	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
ngtcp2perf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.105643	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
ngtcp2perf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.103996	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
noqperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
noqperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
noqperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.222946	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
noqperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.302580	16	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
noqperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.226901	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
noqperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.238508	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
picoperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
picoperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
picoperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.174535	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
picoperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.126245	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
picoperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.167592	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
picoperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.144603	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quicheperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
quicheperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
quicheperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.165069	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quicheperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.124372	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quicheperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.157509	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quicheperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.133891	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quiczigperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
quiczigperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
quiczigperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.117417	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quiczigperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.123574	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quiczigperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.116499	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quiczigperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.129525	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quinnperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
quinnperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
quinnperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.196928	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quinnperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.281601	16	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quinnperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.199015	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
quinnperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.211604	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
s2nperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
s2nperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
s2nperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.204824	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
s2nperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.190802	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
s2nperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.199928	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
s2nperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.174969	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
tquicperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
tquicperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
tquicperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.154373	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
tquicperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.132914	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
tquicperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.158742	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
tquicperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.145741	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
xquicperf	connect	iouring	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
xquicperf	connect	syscall	loopback	publication	1	0	fixed	1073741824	0	5.000000	0.000000	30		fixed_workload
xquicperf	download	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.874606	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
xquicperf	download	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	0.382443	15	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
xquicperf	upload	iouring	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.464044	16	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
xquicperf	upload	syscall	loopback	publication	1	1	bytes	67108864	16777216	5.000000	1.287275	16	QUICPERF_TEST_BYTES=67108864	too_fast_scaled_up;max_scale;validated_scale
