binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	11	11	11	7701.480742		7701.480742	7608.203641	7821.315665	0.027672	7199.486464	6899.261140	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.99pct_le_1.00pct
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	5	5	6	3526.067598		3526.067598	3509.756561	3526.067598	0.004626	3072.410420	2841.156134	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.83pct_le_1.00pct
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	11.391506		11.391506	11.157526	11.766976	0.053500	10.850342	10.098652	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-62.60pct_le_1.00pct
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	11.789299		11.789299	11.757616	11.789299	0.002687	10.797469	10.715957	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-56.91pct_le_1.00pct
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	5	5	6	20.705222		20.705222	20.535010	20.894672	0.017371	17.672635	9.238581	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-4.05pct_le_1.00pct
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	5	5	6	23.329985		23.329985	22.914583	23.745874	0.035632	20.795250	19.884833	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-10.24pct_le_1.00pct
mvfstperf	connect	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	connections_per_second	6	6	7	839.253156		839.253156	805.424876	855.452110	0.059609	736.543080	698.467596	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.17pct_le_1.00pct
mvfstperf	connect	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	connections_per_second	8	8	9	858.391124		858.391124	851.159061	859.451227	0.009660	791.947389	732.302596	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.87pct_le_1.00pct
mvfstperf	download	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	throughput_gbps	1	1	2	6.630543		6.630543	6.560128	6.651972	0.013852	6.303168	6.055607	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-6.13pct_le_1.00pct
mvfstperf	download	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	throughput_gbps	1	1	2	6.460152		6.460152	6.191055	6.482487	0.045112	5.983877	5.686096	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.32pct_le_1.00pct
mvfstperf	upload	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	throughput_gbps	14	14	15	6.553247		6.553247	6.553247	6.579560	0.004015	6.165144	6.078413	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-7.37pct_le_1.00pct
mvfstperf	upload	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	converged	throughput_gbps	15	15	15	6.907475		6.907475	6.848911	6.934416	0.012379	6.779074	6.669717	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.61pct_le_1.00pct
neqoperf	connect	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	5	5	6	783.894290		783.894290	740.316243	806.721268	0.084712	653.729370	322.840265	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-2.13pct_le_1.00pct
neqoperf	connect	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	11	11	11	1010.345591		1010.345591	993.743563	1060.714900	0.066286	905.416988	776.517294	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.95pct_le_1.00pct
neqoperf	download	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	4.084490		4.084490	4.069646	4.095389	0.006302	2.574016	2.336568	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-9.81pct_le_1.00pct
neqoperf	download	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	4.166774		4.166774	4.087426	4.220155	0.031854	2.899089	2.436527	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-10.88pct_le_1.00pct
neqoperf	upload	iouring	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	3.975923		3.975923	3.858446	4.181572	0.081271	3.165215	2.633482	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-29.94pct_le_1.00pct
neqoperf	upload	syscall	loopback	publication	1	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	4.158408		4.158408	4.127436	4.291403	0.039430	4.030436	3.794727	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-36.88pct_le_1.00pct
ngtcp2perf	connect	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	18	18	18	9968.492186		9968.492186	9968.492186	10001.529931	0.003314	9674.676768	9279.869751	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.96pct_le_1.00pct
ngtcp2perf	connect	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	7	7	8	3005.263133		3005.263133	2891.829663	3070.212683	0.059357	2728.091454	2613.812173	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.38pct_le_1.00pct
ngtcp2perf	download	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	2	2	3	16.674042		16.674042	16.573227	16.782160	0.012530	15.189776	14.857349	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.07pct_le_1.00pct
ngtcp2perf	download	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	1	1	2	15.025589		15.025589	14.495266	15.881548	0.092261	13.939601	13.856981	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.41pct_le_1.00pct
ngtcp2perf	upload	iouring	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	5	5	6	24.267239		24.267239	24.198142	24.392392	0.008005	23.790606	22.805106	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.76pct_le_1.00pct
ngtcp2perf	upload	syscall	loopback	publication	1	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	3	3	4	27.141936		27.141936	26.851451	27.159037	0.011332	26.361811	25.962410	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-2.00pct_le_1.00pct
noqperf	connect	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	10	10	11	6189.861511		6189.861511	6088.715462	6253.221936	0.026577	5960.896086	5952.341174	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.25pct_le_1.00pct
noqperf	connect	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	7	7	8	3090.890761		3090.890761	3072.633097	3119.832592	0.015271	2908.809215	2104.202565	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.59pct_le_1.00pct
noqperf	download	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	2	2	3	5.254559		5.254559	5.191469	5.275984	0.016084	4.731340	4.673870	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-9.04pct_le_1.00pct
noqperf	download	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	3	3	4	4.838655		4.838655	4.835989	4.846376	0.002147	4.738814	4.481207	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-6.00pct_le_1.00pct
noqperf	upload	iouring	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	1	1	2	3.568493		3.568493	3.545453	3.639660	0.026400	3.255802	3.023662	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-15.53pct_le_1.00pct
noqperf	upload	syscall	loopback	publication	1	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	1	1	2	3.016209		3.016209	3.003531	3.035678	0.010658	2.971362	2.955585	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-12.44pct_le_1.00pct
picoperf	connect	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	connections_per_second	10	10	11	4338.462922		4338.462922	4217.588551	4631.025380	0.095296	3976.282258	3014.600183	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.86pct_le_1.00pct
picoperf	connect	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	connections_per_second	7	7	8	2199.857603		2199.857603	2198.142564	2207.260707	0.004145	2051.870009	2010.482949	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.98pct_le_1.00pct
picoperf	download	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	throughput_gbps	1	1	2	5.164743		5.164743	5.073336	5.267850	0.037662	4.688994	4.006930	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-35.53pct_le_1.00pct
picoperf	download	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	throughput_gbps	1	1	2	8.050297		8.050297	7.961233	8.540953	0.072012	7.741265	7.178985	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-56.58pct_le_1.00pct
picoperf	upload	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	throughput_gbps	5	5	6	11.474884		11.474884	11.412097	11.518538	0.009276	10.960406	10.846146	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.55pct_le_1.00pct
